ID,Software,Link,Description,Subtype,Year,Last Modified
CB1,Apache httpd,https://serverfault.com/questions/667638/apache-fails-after-configuration-of-2-virtual-hosts,Apache fails after configuration of 2 virtual hosts,Resource competing,2015,2015
CB2,Apache httpd,https://serverfault.com/questions/481346/why-does-apache-fail-to-start-and-only-say-configuration-failed-in-error-log,No space left on device: Couldn't create accept lock,Resource competing,2013,2020
CB3,PostgreSQL,https://stackoverflow.com/questions/13719359/ruby-on-rails-error-when-running-rake-dbmigrate/13719484#13719484,Ruby On Rails Error when running rake db:migrate,Resource competing,2012,2012
CB4,Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Apache error with suEXEC only,Unauthorized access,2010,2010
CB5,Apache httpd,https://serverfault.com/questions/234787/why-apache-throws-403-on-index-file-after-install,Why apache throws 403 on index file after install?,Unauthorized access,2011,2011
CB6,Apache httpd,https://serverfault.com/questions/294725/php-serving-blank-pages-to-1-of-users,PHP serving blank pages to <1% of users,Unauthorized access,2011,2011
CB7,Apache httpd,https://serverfault.com/questions/296997/completely-random-403-errors-despite-explicit-allow-from-all,Completely random 403 errors despite explicit Allow from all,Unauthorized access,2011,2011
CB8,Apache httpd,https://serverfault.com/questions/325889/access-denied-for-php-files-only,Access Denied for PHP Files Only,Unauthorized access,2011,2017
CB9,Apache httpd,https://serverfault.com/questions/579661/apache2-randomly-stop-working-error-403,"Apache2 randomly stop working, error 403",Unauthorized access,2014,2014
CB10,Apache httpd,https://serverfault.com/questions/599723/apache-2-4-with-php-5-5-ldap-in-php-not-working,"Apache 2.4 with PHP 5.5, LDAP in PHP not working",Unauthorized access,2014,2014
CB11,Apache httpd,https://serverfault.com/questions/936134/apache-local-virtualhosts-not-working-502-error,Apache Local virtualhosts not working (502 error),Unauthorized access,2018,2018
CB12,Apache httpd,https://serverfault.com/questions/972149/django-on-apache-gives-500-error-error-log-has-client-denied-by-server-configu,"Django on Apache gives 500 error, error log has “client denied by server configuration”",Unauthorized access,2019,2022
CB13,Apache httpd,http://serverfault.com/questions/438726/apache-permission-denied-on-fedora-17-ec2-instance,apache permission denied on fedora 17 ec2 instance,Unauthorized access,2012,2012
CB14,Apache httpd,http://serverfault.com/questions/89399/https-timeout-while-http-works,https timeout while http works,Unauthorized access,2009,2014
